area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,"Zhongzheng Dist., Taipei City",2 BHK,1056,1,1,1015.82
Plot  Area,Ready To Move,"Datong Dist., Taipei City",4 Bedroom,2600,2,3,3120
Built-up  Area,Ready To Move,"Zhongshan Dist., Taipei City",3 BHK,1440,1,3,1612
Super built-up  Area,Ready To Move,"Songshan Dist., Taipei City",3 BHK,1521,2,1,2470
Super built-up  Area,Ready To Move,"Da’an Dist., Taipei Ci",2 BHK,1200,1,1,1326
Super built-up  Area,Ready To Move,"Wanhua Dist., Taipei City",2 BHK,1170,1,1,988
Super built-up  Area,18-May,"Xinyi Dist., Taipei City",4 BHK,2732,2,,5304
Super built-up  Area,Ready To Move,"Shilin Dist., Taipei City",4 BHK,3300,2,,15600
Super built-up  Area,Ready To Move,"Beitou Dist., Taipei City",3 BHK,1310,2,1,1644.5
Plot  Area,Ready To Move,"Neihu Dist., Taipei City",6 Bedroom,1020,2,,9620
Super built-up  Area,18-Feb,"Nangang Dist., Taipei City",3 BHK,1800,1,2,1820
Plot  Area,Ready To Move,"Wenshan Dist., Taipei City",4 Bedroom,2785,2,3,7670
Super built-up  Area,Ready To Move,"Ren’ai Dist., Keelung Ci",2 BHK,1000,1,1,988
Built-up  Area,Ready To Move,"Xinyi Dist., Keelung City",2 BHK,1100,1,2,1040
Plot  Area,Ready To Move,"Zhongzheng Dist., Keelung City",3 Bedroom,2250,2,2,3848
Super built-up  Area,Ready To Move,"Zhongshan Dist., Keelung City",2 BHK,1175,1,2,1911
Super built-up  Area,Ready To Move,"Anle Dist., Keelung City",3 BHK,1180,2,2,1248
Super built-up  Area,Ready To Move,"Nuannuan Dist., Keelung City",3 BHK,1540,2,3,1560
Super built-up  Area,Ready To Move,"Qidu Dist., Keelung City",3 BHK,2770,2,2,7540
Super built-up  Area,Ready To Move,"Wanli Dist., New Taipei City",2 BHK,1100,1,2,1248
Built-up  Area,Ready To Move,"Jinshan Dist., New Taipei City",1 BHK,600,1,1,390
Super built-up  Area,19-Dec,"Nangan Township, Lienchiang County",3 BHK,1755,2,1,3172
Plot  Area,Ready To Move,"Beigan Township, Lienchiang County",4 Bedroom,2800,2,2,9880
Super built-up  Area,Ready To Move,"Juguang Township, Lienchiang County",3 BHK,1767,2,1,2678
Super built-up  Area,18-Nov,"Dongyin Township, Lienchiang County",1 RK,510,1,0,656.5
Super built-up  Area,18-May,"Banqiao Dist., New Taipei City",3 BHK,1250,2,2,1456
Super built-up  Area,Ready To Move,"Xizhi Dist., New Taipei City",2 BHK,660,1,1,600.6
Built-up  Area,20-Dec,"Shenkeng Dist., New Taipei City",3 BHK,1610,2,2,2106
Super built-up  Area,17-Oct,"Shiding Dist., New Taipei City",2 BHK,1151,1,2,1268.02
Super built-up  Area,Ready To Move,"Ruifang Dist., New Taipei City",3 BHK,1025,1,1,1222
Super built-up  Area,19-Dec,"Pingxi Dist., New Taipei City",4 BHK,2100 - 2850,2,0,4836
Super built-up  Area,Ready To Move,"Shuangxi Dist., New Taipei City",3 BHK,1075,1,1,910
Super built-up  Area,Ready To Move,"Gongliao Dist., New Taipei City",3 BHK,1760,1,2,3198
Super built-up  Area,Ready To Move,"Xindian Dist., New Taipei City",3 BHK,1693,2,3,1492.14
Built-up  Area,Ready To Move,"Pinglin Dist., New Taipei City",3 BHK,1925,2,,3250
Super built-up  Area,21-Dec,"Wulai Dist., New Taipei City",2 BHK,700,1,1,936
Super built-up  Area,Ready To Move,"Yonghe Dist., New Taipei City",2 BHK,1070,1,1,1183
Super built-up  Area,Ready To Move,"Zhonghe Dist., New Taipei City",3 BHK,1724,2,2,3250
Super built-up  Area,Ready To Move,"Tucheng Dist., New Taipei City",3 BHK,1290,1,2,1459.12
Built-up  Area,Ready To Move,"Sanxia Dist., New Taipei City",2 BHK,1143,1,2,1170
Built-up  Area,Ready To Move,"Shulin Dist., New Taipei City",2 BHK,1296,1,,2106
Super built-up  Area,19-Dec,"Yingge Dist., New Taipei City",3 BHK,1254,2,2,988
Super built-up  Area,Ready To Move,"Sanchong Dist., New Taipei City",1 BHK,600,1,0,988
Plot  Area,Ready To Move,"Xinzhuang Dist., New Taipei City",1 Bedroom,660,1,0,1248
Super built-up  Area,19-Sep,"Taishan Dist., New Taipei City",2 BHK,1330.74,1,2,2386.54
Plot  Area,Ready To Move,"Linkou Dist., New Taipei City",8 Bedroom,600,6,,5200
Super built-up  Area,Ready To Move,"Luzhou Dist., New Taipei City",2 BHK,970,1,0,858
Super built-up  Area,20-Sep,"Wugu Dist., New Taipei City",2 BHK,1459,1,1,2465.32
Plot  Area,Ready To Move,"Bali Dist., New Taipei City",2 Bedroom,800,1,1,3380
Built-up  Area,Ready To Move,"Tamsui Dist., New Taipei City",2 BHK,869,1,1,936
Super built-up  Area,Ready To Move,"Sanzhi Dist., New Taipei City",2 BHK,1270,1,1,1300
Super built-up  Area,18-Mar,"Shimen Dist., New Taipei City",3 BHK,1670,2,1,2574
Built-up  Area,Ready To Move,"Yilan City, Yilan County",3 BHK,2010,2,2,2366
Super built-up  Area,Ready To Move,"Toucheng Township, Yilan County",2 BHK,1185,1,2,1950
Super built-up  Area,Ready To Move,"Jiaoxi Township, Yilan County",3 BHK,1600,1,3,1950
Super built-up  Area,Ready To Move,"Zhuangwei Township, Yilan County",2 BHK,1200,1,2,1144
Built-up  Area,20-Feb,"Yuanshan Township, Yilan County",4 Bedroom,3010 - 3410,,,4992
Super built-up  Area,Ready To Move,"Luodong Township, Yilan County",2 BHK,1500,1,2,4810
Plot  Area,Ready To Move,"Sanxing Township, Yilan County",6 Bedroom,1407,2,1,3900
Super built-up  Area,Ready To Move,"Datong Township, Yilan County",2 BHK,840,1,2,1170
Plot  Area,Ready To Move,"Wujie Township, Yilan County",3 Bedroom,4395,2,2,6240
Super built-up  Area,Ready To Move,"Dongshan Township, Yilan County",2 BHK,845,1,1,1430
Plot  Area,Ready To Move,"Su’ao Township, Yilan Coun",4 Bedroom,5700,2,3,16900
Built-up  Area,Ready To Move,"Nan’ao Township, Yilan Coun",2 BHK,1160,1,2,1144
Built-up  Area,Ready To Move,"Tamsui Dist., New Taipei City",8 Bedroom,3000,3,0,3640
Super built-up  Area,Ready To Move,"East Dist., Hsinchu City",2 BHK,1100,1,1,1612
Super built-up  Area,18-Apr,"North Dist., Hsinchu City",2 BHK,1140,1,3,1118
Super built-up  Area,Ready To Move,"Xiangshan Dist., Hsinchu City",2 BHK,1220,1,1,1482
Plot  Area,Ready To Move,"Zhubei City, Hsinchu County",8 Bedroom,1350,3,0,2210
Super built-up  Area,Ready To Move,"Hukou Township, Hsinchu County",2 BHK,1005,1,1,953.68
Plot  Area,Ready To Move,"Xinfeng Township, Hsinchu County",3 Bedroom,500,2,2,2600
Super built-up  Area,20-Aug,"Xinpu Township, Hsinchu County",2 BHK,1358,1,1,2095.08
Super built-up  Area,Ready To Move,"Guanxi Township, Hsinchu County",3 BHK,1569,2,1,2626
Super built-up  Area,18-Apr,"Qionglin Township, Hsinchu County",2 BHK,1240,1,1,1820
Super built-up  Area,Ready To Move,"Baoshan Township, Hsinchu County",3 BHK,2089,2,2,3640
Super built-up  Area,Ready To Move,"Zhudong Township, Hsinchu County",2 BHK,1206,1,1,1253.98
Super built-up  Area,Ready To Move,"Wufeng Township, Hsinchu County",2 BHK,1150,1,3,1040
Built-up  Area,Ready To Move,"Hengshan Township, Hsinchu County",3 BHK,2511,2,3,5330
Built-up  Area,Ready To Move,"Jianshi Township, Hsinchu County",2 BHK,460,1,0,572
Built-up  Area,Ready To Move,"Beipu Township, Hsinchu County",6 Bedroom,4400,2,3,6500
Super built-up  Area,Ready To Move,"Emei Township, Hsinchu County",3 BHK,1660,1,2,2730
Built-up  Area,18-Oct,"Zhongli Dist., Taoyuan City",4 Bedroom,2957 - 3450,,,5837
Super built-up  Area,19-Mar,"Pingzhen Dist., Taoyuan City",2 BHK,1326,1,2,2028
Super built-up  Area,Ready To Move,"Longtan Dist., Taoyuan City",3 BHK,1325,1,2,1580.8
Super built-up  Area,Ready To Move,"Yangmei Dist., Taoyuan City City",3 BHK,1499,2,2,2652
Built-up  Area,Ready To Move,"Xinwu Dist., Taoyuan City",6 Bedroom,3000,3,2,5460
Super built-up  Area,Ready To Move,"Guanyin Dist., Taoyuan City",3 BHK,1665,2,2,2288
Super built-up  Area,17-Sep,"Taoyuan Dist., Taoyuan City",2 BHK,708,1,2,962
Super built-up  Area,Ready To Move,"Guishan Dist., Taoyuan City",2 BHK,1060,1,2,1509.56
Plot  Area,Ready To Move,"Bade Dist., Taoyuan City",6 Bedroom,710,2,3,4160
Built-up  Area,Ready To Move,"Daxi Dist., Taoyuan City",2 BHK,1000,1,2,1820
Super built-up  Area,18-Dec,"Fuxing Dist., Taoyuan City",2 BHK,1000,1,1,750.88
Super built-up  Area,Ready To Move,"Dayuan Dist., Taoyuan City",3 BHK,1450,1,2,1820
Plot  Area,Ready To Move,"Luzhu Dist., Taoyuan City",4 Bedroom,1200,2,2,4030
Super built-up  Area,17-Aug,"Zhunan Township, Miaoli County",2 BHK,1296,1,3,2080
